name,estarrivalairport,window.end,count
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-16T01:00:00.000+0000,241
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-07T01:00:00.000+0000,234
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-14T01:00:00.000+0000,230
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-04-30T01:00:00.000+0000,229
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-12T01:00:00.000+0000,227
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-20T01:00:00.000+0000,224
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-10T01:00:00.000+0000,222
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-13T01:00:00.000+0000,219
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-17T01:00:00.000+0000,218
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-05T01:00:00.000+0000,216
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-03T01:00:00.000+0000,216
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-09T01:00:00.000+0000,216
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-04-29T01:00:00.000+0000,211
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-06T01:00:00.000+0000,209
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-15T01:00:00.000+0000,208
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-08T01:00:00.000+0000,206
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-04T01:00:00.000+0000,205
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-19T01:00:00.000+0000,205
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-02T01:00:00.000+0000,204
Palma De Mallorca Airport,LEPA,2021-05-16T01:00:00.000+0000,201
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-11T01:00:00.000+0000,199
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-18T01:00:00.000+0000,193
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-01T01:00:00.000+0000,189
Barcelona International Airport,LEBL,2021-05-16T01:00:00.000+0000,186
Barcelona International Airport,LEBL,2021-05-07T01:00:00.000+0000,175
Barcelona International Airport,LEBL,2021-05-17T01:00:00.000+0000,170
Barcelona International Airport,LEBL,2021-05-14T01:00:00.000+0000,165
Barcelona International Airport,LEBL,2021-05-09T01:00:00.000+0000,162
Palma De Mallorca Airport,LEPA,2021-05-12T01:00:00.000+0000,159
Barcelona International Airport,LEBL,2021-05-10T01:00:00.000+0000,155
Barcelona International Airport,LEBL,2021-05-13T01:00:00.000+0000,151
Barcelona International Airport,LEBL,2021-05-02T01:00:00.000+0000,151
Palma De Mallorca Airport,LEPA,2021-05-15T01:00:00.000+0000,151
Barcelona International Airport,LEBL,2021-05-12T01:00:00.000+0000,150
Palma De Mallorca Airport,LEPA,2021-05-14T01:00:00.000+0000,149
Palma De Mallorca Airport,LEPA,2021-05-13T01:00:00.000+0000,146
Palma De Mallorca Airport,LEPA,2021-05-20T01:00:00.000+0000,146
Palma De Mallorca Airport,LEPA,2021-05-09T01:00:00.000+0000,145
Barcelona International Airport,LEBL,2021-05-03T01:00:00.000+0000,144
Barcelona International Airport,LEBL,2021-05-20T01:00:00.000+0000,143
Palma De Mallorca Airport,LEPA,2021-05-07T01:00:00.000+0000,142
Palma De Mallorca Airport,LEPA,2021-05-08T01:00:00.000+0000,134
Palma De Mallorca Airport,LEPA,2021-05-17T01:00:00.000+0000,134
Palma De Mallorca Airport,LEPA,2021-05-02T01:00:00.000+0000,133
Palma De Mallorca Airport,LEPA,2021-05-01T01:00:00.000+0000,133
Barcelona International Airport,LEBL,2021-05-06T01:00:00.000+0000,133
Barcelona International Airport,LEBL,2021-05-19T01:00:00.000+0000,133
Barcelona International Airport,LEBL,2021-05-05T01:00:00.000+0000,129
Barcelona International Airport,LEBL,2021-05-01T01:00:00.000+0000,124
Barcelona International Airport,LEBL,2021-05-08T01:00:00.000+0000,119
Barcelona International Airport,LEBL,2021-05-15T01:00:00.000+0000,118
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-15T01:00:00.000+0000,118
Barcelona International Airport,LEBL,2021-05-04T01:00:00.000+0000,117
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-02T01:00:00.000+0000,116
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-16T01:00:00.000+0000,115
Barcelona International Airport,LEBL,2021-05-11T01:00:00.000+0000,115
Palma De Mallorca Airport,LEPA,2021-05-10T01:00:00.000+0000,112
Palma De Mallorca Airport,LEPA,2021-04-30T01:00:00.000+0000,110
Barcelona International Airport,LEBL,2021-05-18T01:00:00.000+0000,110
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-07T01:00:00.000+0000,110
Barcelona International Airport,LEBL,2021-04-30T01:00:00.000+0000,108
Palma De Mallorca Airport,LEPA,2021-05-06T01:00:00.000+0000,108
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-01T01:00:00.000+0000,106
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-05-17T01:00:00.000+0000,106
