name,estdepartureairport,window.end,count
Alicante International Airport,LEAL,2021-04-29T01:00:00.000+0000,20
Málaga Airport,LEMG,2021-04-29T01:00:00.000+0000,44
Francisco de Sá Carneiro Airport,LPPR,2021-04-29T01:00:00.000+0000,31
Vilar Da Luz Airport,LPVL,2021-04-29T01:00:00.000+0000,11
Toulouse-Blagnac Airport,LFBO,2021-04-29T01:00:00.000+0000,56
Barcelona International Airport,LEBL,2021-04-29T01:00:00.000+0000,95
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-04-29T01:00:00.000+0000,202
Faro Airport,LPFR,2021-04-29T01:00:00.000+0000,11
Cascais Airport,LPCS,2021-04-29T01:00:00.000+0000,31
Sevilla Airport,LEZL,2021-04-29T01:00:00.000+0000,18
Évora Airport,LPEV,2021-04-29T01:00:00.000+0000,16
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-04-29T01:00:00.000+0000,71
Ibiza Airport,LEIB,2021-04-29T01:00:00.000+0000,23
Palma De Mallorca Airport,LEPA,2021-04-29T01:00:00.000+0000,91
Ibiza Airport,LEIB,2021-04-30T01:00:00.000+0000,39
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-04-30T01:00:00.000+0000,218
Cuatro Vientos Airport,LECU,2021-04-30T01:00:00.000+0000,15
Humberto Delgado Airport (Lisbon Portela Airport),LPPT,2021-04-30T01:00:00.000+0000,95
Faro Airport,LPFR,2021-04-30T01:00:00.000+0000,13
Palma De Mallorca Airport,LEPA,2021-04-30T01:00:00.000+0000,98
Sevilla Airport,LEZL,2021-04-30T01:00:00.000+0000,27
Toulouse-Blagnac Airport,LFBO,2021-04-30T01:00:00.000+0000,50
Francisco de Sá Carneiro Airport,LPPR,2021-04-30T01:00:00.000+0000,38
Barcelona International Airport,LEBL,2021-04-30T01:00:00.000+0000,116
Cascais Airport,LPCS,2021-04-30T01:00:00.000+0000,27
Vilar Da Luz Airport,LPVL,2021-04-30T01:00:00.000+0000,18
Málaga Airport,LEMG,2021-04-30T01:00:00.000+0000,67
Évora Airport,LPEV,2021-04-30T01:00:00.000+0000,11
Alicante International Airport,LEAL,2021-04-30T01:00:00.000+0000,31
Cascais Airport,LPCS,2021-05-01T01:00:00.000+0000,16
Alicante International Airport,LEAL,2021-05-01T01:00:00.000+0000,38
Francisco de Sá Carneiro Airport,LPPR,2021-05-01T01:00:00.000+0000,47
Palma De Mallorca Airport,LEPA,2021-05-01T01:00:00.000+0000,123
Faro Airport,LPFR,2021-05-01T01:00:00.000+0000,27
Ibiza Airport,LEIB,2021-05-01T01:00:00.000+0000,46
Adolfo Suárez Madrid–Barajas Airport,LEMD,2021-05-01T01:00:00.000+0000,191
Málaga Airport,LEMG,2021-05-01T01:00:00.000+0000,83
Barcelona International Airport,LEBL,2021-05-01T01:00:00.000+0000,125
