time,icao241,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,minute,recent,icao2419
1619980619,3445d4,41.29042053222656,2.1414794921875,87.84799750481375,108.434948822922,7.477760000000001,IBE2031,false,false,false,423,518.1600000000001,624.8400000000001,null,null,1619978400,26999676,1619980619,3445d4
1619980679,3445d4,41.28227233886719,2.213623046875,116.2927942801218,91.26739898523329,13.32992,IBE2031,false,false,false,423,1043.94,1135.38,null,null,1619978400,26999677,1619980679,3445d4
1619980739,3445d4,41.24057006835938,2.25885009765625,124.1004852823358,202.4188920558655,15.28064,IBE2031,false,false,false,423,1851.66,1958.34,null,null,1619978400,26999678,1619980739,3445d4
1619980799,3445d4,41.21902724443856,2.176042036576705,137.8911459821693,262.928010734073,14.6304,IBE2031,false,false,false,423,2560.32,2659.38,null,null,1619978400,26999679,1619980799,3445d4
1619980859,3445d4,41.2084133342161,2.075167569247159,153.3647213730487,261.7068171198818,5.20192,IBE2031,false,false,false,423,3253.74,3375.66,null,null,1619978400,26999680,1619980859,3445d4
1619980919,3445d4,41.19537870762711,1.953943425958807,175.1173723417403,261.8937014581484,14.95552,IBE2031,false,false,false,423,3787.14,3909.06,null,null,1619978400,26999681,1619980919,3445d4
1619980979,3445d4,41.18183898925781,1.829345703125,178.2457520609588,261.869897645844,14.30528,IBE2031,false,false,false,423,4564.38,4678.68,null,null,1619978400,26999682,1619980979,3445d4
1619981039,3445d4,41.16883850097656,1.708984375,179.2643582686417,261.9164039501705,11.3792,IBE2031,false,false,false,423,5280.66,5417.82,null,null,1619978400,26999683,1619981039,3445d4
1619981099,3445d4,41.155517578125,1.5859375,181.3741614845785,261.8469149838143,10.72896,IBE2031,false,false,false,423,5920.740000000001,6042.66,null,null,1619978400,26999684,1619981099,3445d4
1619981159,3445d4,41.14235570875265,1.465426358309659,182.9750825900884,261.7559896855509,9.7536,IBE2031,false,false,false,423,6484.62,6621.78,null,null,1619978400,26999685,1619981159,3445d4
1619981219,3445d4,41.13635047007415,1.411181363192472,184.0674593239955,261.6434332935028,7.477760000000001,IBE2031,false,false,false,423,6690.360000000001,6789.42,null,null,1619978400,26999686,1619981219,3445d4
1619981279,3445d4,41.13635047007415,1.411181363192472,184.0674593239955,261.6434332935028,7.477760000000001,IBE2031,false,false,false,423,6690.360000000001,6789.42,null,null,1619978400,26999687,1619981279,3445d4
1619981339,3445d4,41.10660359010858,1.143888993696733,190.4005824352395,261.4539248968923,7.152640000000001,IBE2031,false,false,false,423,7642.860000000001,7787.64,null,null,1619978400,26999688,1619981339,3445d4
1619981399,3445d4,41.07975769042969,0.90911865234375,197.166996969034,261.4470582411735,6.502400000000001,IBE2031,false,false,false,423,8275.32,8420.1,null,null,1619978400,26999689,1619981399,3445d4
1619981459,3445d4,41.06643676757812,0.79351806640625,197.2441627682241,261.2992835177323,6.177280000000001,IBE2031,false,false,false,423,8602.98,8694.420000000002,null,null,1619978400,26999690,1619981459,3445d4
1619981519,3445d4,41.05023193359375,0.65509033203125,194.7019327008354,261.1847789767768,0,IBE2031,false,false,false,423,8839.2,8991.6,null,null,1619978400,26999691,1619981519,3445d4
1619981579,3445d4,41.05023193359375,0.65509033203125,195.653813887559,256.6214598049285,-0.32512,IBE2031,false,false,false,423,8839.2,8983.980000000001,null,null,1619978400,26999692,1619981579,3445d4
1619981639,3445d4,41.00495910644531,0.40692138671875,205.7473741951295,255.9637565320735,0,IBE2031,false,false,false,423,8839.2,8991.6,null,null,1619978400,26999693,1619981639,3445d4
1619981699,3445d4,40.98952471199682,0.3249705921519886,205.7473741951295,255.9637565320735,0,IBE2031,false,false,false,423,8839.2,8991.6,null,null,1619978400,26999694,1619981699,3445d4
1619981759,3445d4,40.95163119041313,0.1245325261896307,205.2483281310964,255.9289262752618,0,IBE2031,false,false,false,423,8839.2,8983.980000000001,null,null,1619978400,26999695,1619981759,3445d4
1619981819,3445d4,40.91513423596398,-0.06629250266337294,206.9964379156017,255.7565394264522,0,IBE2031,false,false,false,423,8831.58,8991.6,null,null,1619978400,26999696,1619981819,3445d4
1619981879,3445d4,40.88690185546875,-0.21307373046875,207.4951059979554,255.7914907266981,0,IBE2031,false,false,false,423,8846.82,8999.22,null,null,1619978400,26999697,1619981879,3445d4
1619981939,3445d4,40.85829395358845,-0.3596149791370739,208.2481766387659,255.5518107520446,0,IBE2031,false,false,false,423,8839.2,8991.6,null,null,1619978400,26999698,1619981939,3445d4
1619981999,3445d4,40.83031605865995,-0.5030614679509995,209.3730199669648,255.4857337063315,0,IBE2031,false,false,false,423,8846.82,8999.220000000001,null,null,1619978400,26999699,1619981999,3445d4
1619982059,3445d4,40.80210540254237,-0.646320689808249,209.502542416697,255.3495310865659,0,IBE2031,false,false,false,423,8846.82,9006.84,null,null,1619982000,26999700,1619982059,3445d4
1619982119,3445d4,40.77365112304688,-0.790283203125,209.004865158517,255.3138621300322,0,IBE2031,false,false,false,423,8839.2,8999.220000000001,null,null,1619982000,26999701,1619982119,3445d4
1619982179,3445d4,40.74456683659957,-0.9353984485973115,208.6385976761953,255.1413855520753,0,IBE2031,false,false,false,423,8839.2,8999.220000000001,null,null,1619982000,26999702,1619982179,3445d4
1619982239,3445d4,40.71682170286017,-1.073351773348747,209.1358810777363,255.1775272879615,0,IBE2031,false,false,false,423,8831.58,8991.6,null,null,1619982000,26999703,1619982239,3445d4
1619982299,3445d4,40.68717956542969,-1.21954345703125,210.2622688386311,255.1137331509825,0,IBE2031,false,false,false,423,8839.2,8999.220000000001,null,null,1619982000,26999704,1619982299,3445d4
1619982359,3445d4,40.65760725635593,-1.36505126953125,210.2622688386311,255.1137331509825,-4.8768,IBE2031,false,false,false,423,8732.52,8915.4,null,null,1619982000,26999705,1619982359,3445d4
1619982419,3445d4,40.62758106296345,-1.511057073419749,213.7773264508253,254.7932525640598,-4.8768,IBE2031,false,false,false,423,8442.960000000001,8625.84,null,null,1619982000,26999706,1619982419,3445d4
1619982479,3445d4,40.59722900390625,-1.657312566583812,215.0412841501215,254.6006203021335,-4.8768,IBE2031,false,false,false,423,8145.780000000001,8313.42,null,null,1619982000,26999707,1619982479,3445d4
1619982539,3445d4,40.55598372119968,-1.797450672496439,208.4482397420244,243.9408586726261,-4.55168,IBE2031,false,false,false,423,7848.6,8016.240000000001,null,null,1619982000,26999708,1619982539,3445d4
1619982599,3445d4,40.50801086425781,-1.92889404296875,204.1020506735591,244.4683570105026,-13.32992,IBE2031,false,false,false,423,7330.440000000001,7513.320000000001,null,null,1619982000,26999709,1619982599,3445d4
1619982659,3445d4,40.46127319335938,-2.05657958984375,192.3587222805131,244.3258400973159,-7.477760000000001,IBE2031,false,false,false,423,6637.02,6812.280000000001,null,null,1619982000,26999710,1619982659,3445d4
1619982719,3445d4,40.41874772411282,-2.17223427512431,172.7896323588877,244.0452669315582,-7.477760000000001,IBE2031,false,false,false,423,6195.06,6370.320000000001,null,null,1619982000,26999711,1619982719,3445d4
1619982779,3445d4,40.3802490234375,-2.2767333984375,160.3762152415728,244.339111314892,-7.80288,IBE2031,false,false,false,423,5737.860000000001,5897.880000000001,null,null,1619982000,26999712,1619982779,3445d4
1619982839,3445d4,40.34365896451271,-2.376167990944623,150.2475955216673,244.2245803204463,-6.827520000000001,IBE2031,false,false,false,423,5303.52,5463.54,null,null,1619982000,26999713,1619982839,3445d4
1619982899,3445d4,40.31004824880826,-2.466617931019186,136.8943120407863,243.9164146287604,-7.152640000000001,IBE2031,false,false,false,423,4876.8,5029.2,null,null,1619982000,26999714,1619982899,3445d4
1619982959,3445d4,40.27857893604343,-2.550575949928998,132.9815351049442,243.8314530780551,-8.45312,IBE2031,false,false,false,423,4419.6,4556.76,null,null,1619982000,26999715,1619982959,3445d4
1619983019,3445d4,40.25977183196504,-2.637342973188936,128.1058528433551,270.690277197865,-6.177280000000001,IBE2031,false,false,false,423,4099.56,4236.72,null,null,1619982000,26999716,1619983019,3445d4
1619983079,3445d4,40.25949096679688,-2.7276611328125,128.6202596586643,269.3124836453609,-5.85216,IBE2031,false,false,false,423,3749.04,3886.2,null,null,1619982000,26999717,1619983079,3445d4
1619983139,3445d4,40.2588873394465,-2.819553722034811,132.8471323511884,272.441364725192,-5.85216,IBE2031,false,false,false,423,3398.52,3528.06,null,null,1619982000,26999718,1619983139,3445d4
1619983199,3445d4,40.30938720703125,-2.88360595703125,138.1643736264153,329.3289396676616,-5.20192,IBE2031,false,false,false,423,3169.92,3299.46,null,null,1619982000,26999719,1619983199,3445d4
1619983259,3445d4,40.31845092773438,-2.9656982421875,128.7570192041479,246.200216655641,-1.95072,IBE2031,false,false,false,423,2948.94,3078.48,null,null,1619982000,26999720,1619983259,3445d4
